n_training,n_neurons,l_noise,train_algo,q_validate,q_regular,c_regular,epochs,stop,best_perf,best_vperf,best_tperf,net_true_error
1000,5,0.5,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.227681078,NaN,NaN,0.004594625
200,40,0.1,trainlm,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.005288995,NaN,NaN,0.004706749
1000,40,0.1,trainrp,TRUE,TRUE,1.00E-06,209,Validation stop.,0.014548668,0.014421761,NaN,0.004714465
50,40,0.1,trainbfg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.068116279,NaN,NaN,0.004808691
200,20,0.1,trainrp,TRUE,TRUE,1.00E-06,94,Validation stop.,0.010679702,0.012925002,NaN,0.004831023
200,20,0.1,trainbfg,TRUE,FALSE,0.5,24,Validation stop.,0.009748181,0.014466883,NaN,0.004882603
1000,20,0.5,trainbfg,TRUE,TRUE,1.00E-06,23,Validation stop.,0.255705399,0.248890267,NaN,0.00497088
50,5,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009515064,NaN,NaN,0.005009124
1000,5,0.5,trainbfg,FALSE,TRUE,1.00E-06,340,Minimum gradient reached.,0.236933217,NaN,NaN,0.005065861
200,40,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.008833553,NaN,NaN,0.005151435
200,40,0.1,trainbfg,TRUE,TRUE,0.1,273,Validation stop.,0.07369341,0.069087511,NaN,0.005165379
200,20,0.1,trainrp,TRUE,FALSE,0.5,62,Validation stop.,0.012531259,0.014485601,NaN,0.005262161
200,10,0.1,trainscg,TRUE,TRUE,1.00E-06,33,Validation stop.,0.014388674,0.015522613,NaN,0.005267325
1000,10,0.5,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.242064554,NaN,NaN,0.00532238
200,20,0.5,trainbfg,TRUE,TRUE,0.1,104,Validation stop.,0.349142695,0.298570302,NaN,0.005451722
1000,40,1,trainbfg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.870525102,NaN,NaN,0.005572932
200,10,0.1,traingdx,TRUE,FALSE,0.5,126,Validation stop.,0.013802974,0.017289627,NaN,0.005634572
1000,5,1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,1.033005182,NaN,NaN,0.005646831
1000,10,1,trainscg,FALSE,TRUE,0.1,848,Minimum gradient reached.,1.063134684,NaN,NaN,0.005664666
1000,20,1,trainscg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.940020922,NaN,NaN,0.005710066
50,10,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.004458179,NaN,NaN,0.005711603
50,10,0.1,trainscg,TRUE,TRUE,1.00E-06,49,Validation stop.,0.009734446,0.014877149,NaN,0.005847266
50,10,0.1,trainbfg,TRUE,FALSE,0.5,35,Validation stop.,0.007663549,0.015325871,NaN,0.005898094
1000,20,0.5,trainscg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.288788792,NaN,NaN,0.005908419
1000,10,0.5,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.253478643,NaN,NaN,0.005971761
1000,5,0.5,traingdx,TRUE,FALSE,0.5,57,Validation stop.,0.285478606,0.239953994,NaN,0.006018257
50,20,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.004484998,NaN,NaN,0.006032519
50,10,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.006084769,NaN,NaN,0.006219505
200,40,0.1,trainscg,TRUE,TRUE,1.00E-06,33,Validation stop.,0.014466141,0.014214322,NaN,0.006237177
50,5,0.1,trainrp,TRUE,FALSE,0.5,72,Validation stop.,0.014065284,0.012014999,NaN,0.00625304
200,40,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009874256,NaN,NaN,0.006399138
50,40,0.1,trainscg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.067447071,NaN,NaN,0.006437922
50,10,0.1,trainbfg,FALSE,TRUE,1.00E-06,818,Minimum gradient reached.,0.002508537,NaN,NaN,0.006461904
200,10,0.1,traingdx,TRUE,TRUE,1.00E-06,150,Validation stop.,0.013429074,0.018466625,NaN,0.006473695
200,40,0.1,traingdx,FALSE,TRUE,0.5,1000,Maximum epoch reached.,7.419372517,NaN,NaN,0.00649119
50,40,0.1,trainbfg,TRUE,FALSE,0.5,31,Validation stop.,0.001687834,0.015083568,NaN,0.006494762
50,20,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.005428287,NaN,NaN,0.006543131
50,10,0.1,trainlm,TRUE,TRUE,1.00E-06,7,Maximum MU reached.,0.005392995,0.015549615,NaN,0.006610807
50,40,0.1,trainlm,FALSE,TRUE,1.00E-06,3,Maximum MU reached.,0.000682728,NaN,NaN,0.006675604
